,filename,location,long,lat,Issue,Duration,TimeStamp
11,bangalore_report_11.txt,"Chandrlayout,80feet road.,,Bangalore-560040 ",77.52390600000003,12.9590525,"footpath vendors have encroached the footpath, public inconvenience people have to walk, walk on the footpath",Not found,"Mar 25, 2020, 06.13 PM IST"
12,bangalore_report_13.txt,"KR Nagar-Choodsandra-opp.to KSRPF Quarters,Fourth Street,Bangalore ",77.67455190000003,12.8851842,"Drainage water has been flowing on to the road, breeding of mosquitos",Not found,"Mar 25, 2020, 06.12 PM IST"
13,bangalore_report_16.txt,"Hajj Bhavan,Tanisandra Main Road,Bangalore ",77.63649670000002,13.0900843,"Sewage water, dirty water",Not found,"Mar 12, 2020, 06.22 AM IST"
14,bangalore_report_17.txt,"HAL 3rd stage,4th main,Bangalore ",77.65213320000002,12.9716276,"problem has been going on, sewage continues to overflow, problem can't be, drain water is on the road",Not found,"Mar 12, 2020, 06.22 AM IST"
15,bangalore_report_18.txt,"Richards Town  ,Drain Road ,Bangalore ",77.614948,13.0063217,"pavements are occupied by vendors, broken footpath, risk of pedestrians",Not found,"Mar 12, 2020, 06.21 AM IST"
16,bangalore_report_20.txt,"Ashoknagar,Markham Road,Bangalore ",77.6085402,12.9693597,Manholes are overflowing,Not found,"Mar 12, 2020, 06.21 AM IST"
17,bangalore_report_21.txt,"Nandini Layout,2cross, 17main,bangalore ",77.5381058,13.0178434,"branch is dangling dangerously, still not been addressed",three days,"Mar 12, 2020, 06.20 AM IST"
18,bangalore_report_22.txt,"45/1, 2 nd cross,Brindavan layout, ,Muneshwara temple road,Padmanabhanagar ,BANGALORE 560061 ",77.567199,12.928388,"open drain, awful stench, health hazard to the residents, breeding ground for mosquitoes, unbearable stench",Not found,"Mar 11, 2020, 06.16 AM IST"
19,bangalore_report_25.txt,"HSR layout,2nd cross ,bangalore ",77.642876,12.8996168,"Drainage and roads, dug up",3 months,"Mar 5, 2020, 06.16 AM IST"
20,bangalore_report_26.txt,"449 , 9 th Cross. girinagar 2nd phase ,girinagar 2nd phase ,Bangalore ",77.590498,12.910117,sunk by one feet and about to collapse anytime,45 days elapsed,"Mar 5, 2020, 06.15 AM IST"
21,bangalore_report_30.txt,"Seshadripuram,surur park road ,Bangalore ",77.5728376,12.9929951,"UGD pipes still thy have not closed, Air pollution",Not found,"Feb 6, 2020, 06.28 AM IST"
22,bangalore_report_31.txt,"Vishweshwaraiah Layout 4th Block ,Behind Aladamara Park ,Bangalore ",77.3958402,12.9093703,"illegal activities are being carried, blocked and robbed",Not found,"Feb 6, 2020, 06.25 AM IST"
23,bangalore_report_32.txt,"opposite jal bhavan,bannerghatta road,Bangalore ",77.6000931,12.924558,traffic jams,Not found,"Feb 5, 2020, 06.18 AM IST"
24,bangalore_report_34.txt,"Sarvabhowmanagar, Bilekahalli,Sir M Visveswaraya Road,Bangalore ",77.6030007,12.8922496,"incessant burning of garbage on an empty site, fire lit on garbage went out of control, major disaster waiting to happen",Not found,"Feb 5, 2020, 06.17 AM IST"
25,bangalore_report_35.txt,"yediyur lake,kanakapura road,Bangalore ",77.57620759999998,12.9338087,trouble for pedestrians,three months,"Feb 5, 2020, 06.16 AM IST"
26,bangalore_report_36.txt,"junction near shobha city,thannisandra main road,Bangalore north ",77.63378309999997,13.0776045,"condition of road is pathetic, vehicles enter wrong way leading to, traffic jam",Not found,"Jan 29, 2020, 06.20 AM IST"
27,bangalore_report_37.txt,"Chandapura,Anekal Road,Bangalore ",77.7013589,12.7684881,"dug up the road, digging roads, digging work for underground cables, open is open, risk to public life",Not found,"Jan 29, 2020, 06.19 AM IST"
28,bangalore_report_38.txt,"Mekhri Circle,Underpass,Bangalore ",77.5945627,12.9715987,increased because road is relaid,Not found,"Jan 29, 2020, 06.17 AM IST"
29,bangalore_report_39.txt,"Chandapura,Anekal Road,Bangalore ",77.7013589,12.7684881,"Lake encroachment is not new, dumping ground for garbage and construction debris, lake to to revive on its own in monsoon, sewage flows",35 years ago,"Jan 29, 2020, 06.16 AM IST"
30,bangalore_report_41.txt,"Nagartpet,Ganigara C Lane,Bangalore ",77.5831309,12.9666315,Road condition is very bad,Not found,"Jan 29, 2020, 06.15 AM IST"
31,bangalore_report_42.txt,"Kudlu Gate,Kudlu Road,Bangalore ",77.64254770000002,12.8900755,No footpath to walk,Not found,"Jan 29, 2020, 06.14 AM IST"
32,bangalore_report_43.txt,"Kadugodi, Under the fly over,Near Saibaba Ashram,Bangalore ",77.75902140000002,12.9977114,dug up a newly laid road,Not found,"Jan 28, 2020, 06.17 AM IST"
33,bangalore_report_45.txt,"Nsndi durga road,M M cross road,Bangalore ",77.5997806,13.0008649,garbage-filled spot,Not found,"Jan 28, 2020, 06.15 AM IST"
34,bangalore_report_46.txt,"KPCL Layout,12th Cross,Bangalore ",77.70685710000002,12.9523921,"dump garbage on the Junnasandra lake, horrible stink, breeding ground for pigs",Not found,"Jan 28, 2020, 06.14 AM IST"
35,bangalore_report_47.txt,"chamarajpet,4th main 7th cross, next to windshield experts,bangalore ",77.56781600000002,12.946569,building material,Not found,"Jan 22, 2020, 06.19 AM IST"
36,bangalore_report_48.txt,"Someshwara layout, Hulimavu,22nd Cross Road,Bangalore ",77.60353839999998,12.8786489,uncollected garbage,last 10 days,"Jan 22, 2020, 06.17 AM IST"
37,bangalore_report_49.txt,"HRBR LAYOUT , I Block, Kalyan Nagar,8 main West,Bangalore ",77.6448533,13.0196061,Nano car has been lying abandoned,three months,"Jan 22, 2020, 06.17 AM IST"
38,bangalore_report_50.txt,"attigupe,vijaynagar,Bangalore ",77.52897970000002,12.9597914,uncleared garbage,Not found,"Jan 22, 2020, 06.17 AM IST"
39,bangalore_report_51.txt,"vasantapura main,near Mahalakshmi Temple,Bangalore ",77.55924470000002,12.8918728,open-drain,Not found,"Jan 22, 2020, 06.16 AM IST"
40,bangalore_report_53.txt,"Arekere Mico Layout,5th main road,Bangalore ",77.59362039999998,12.8882516,deep ditch on the centre,Not found,"Jan 22, 2020, 06.16 AM IST"
41,bangalore_report_54.txt,"Rammurthynagar,rammurthynagar,bangalore ",77.67848120000002,13.0163134,digging and the uneven road is causing traffic and dust on the,Not found,"Jan 22, 2020, 06.15 AM IST"
42,bangalore_report_56.txt,"Doddakannelli,Karmelaram Railway Station Road,Bangalore ",77.70562070000003,12.9071099,Sewage water is overflowing,Not found,"Jan 18, 2020, 06.17 AM IST"
43,bangalore_report_57.txt,"kadubisanahalli,kariyammana agrahara main road,bangalore ",77.68943,12.9398475,difficult to get in and out of this road in car,Not found,"Jan 18, 2020, 06.17 AM IST"
44,bangalore_report_60.txt,"kalkondrahalli,kalkondrahalli near Kaka Singh dhaba,Bangalore ",77.6855632,12.918497,Sewage spilling on to the road adjacent,Not found,"Jan 18, 2020, 06.16 AM IST"
45,bangalore_report_61.txt,"Basavanagudi,Mallikarjuna swamy temple road,bangalore ",77.5785135,12.9701254,"made unusable - footpaths have been occupied, road is blocked by old cars abandoned",2 months,"Jan 18, 2020, 06.16 AM IST"
46,bangalore_report_62.txt,"kasavahalli,kasavahalli main road,bangalore ",77.6759842,12.9048499,roads dug up,Not found,"Jan 18, 2020, 06.16 AM IST"
47,bangalore_report_64.txt,"Agara,Sarjapur road,Bangalore ",77.64645340000001,12.9230648,"encroached public space including a transformer pole, illegally fencing",Not found,"Jan 18, 2020, 06.13 AM IST"
48,bangalore_report_65.txt,"7th A Main Road, 1st Block, HRBR Layout,,Banaswadi, Kalyanagar,,Bangalore - 560043 ",77.6432126,13.0125981,hindrance to our residents,Not found,"Jan 10, 2020, 06.19 AM IST"
49,bangalore_report_68.txt,"peenya 2nd stage,1st main road,Bangalore ",77.51048990000002,13.0320309,accidents are prone to happen,Not found,"Jan 10, 2020, 06.18 AM IST"
50,bangalore_report_69.txt,"k narayanapura,Kristy Jayanti college,Bangalore ",77.64286109999998,13.0581573,creates a lot of problems,4 months,"Jan 10, 2020, 06.18 AM IST"
51,bangalore_report_70.txt,"Bellandur Gate,Bellandur ,Bangalore ",77.6755615,12.9252739,"footpaths have either been encroached, endangering the pedestrians",Not found,"Jan 10, 2020, 06.17 AM IST"
52,bangalore_report_73.txt,"cmh road indiranagar ,indiranagar 2nd stage,Bangalore ",77.6375808,12.978329400000002,"drains were opened up, inconvenience for road",1 month between 16th cross Indiranagar,"Jan 9, 2020, 06.19 AM IST"
53,bangalore_report_74.txt,"Kaggadasapura,Kaggadasapura Main Road,Bangalore ",77.67369959999998,12.9852222,"Sewage water logging, health threat to citizens, major reasons for traffic pile up",Not found,"Jan 9, 2020, 06.18 AM IST"
54,bangalore_report_75.txt,"Kasavanahalli,central jail road,Bangalore ",77.67324479999998,12.890075,"horrible condition, forced to wear masks",Not found,"Jan 9, 2020, 06.16 AM IST"
55,bangalore_report_76.txt,"Dairy Circle,Bannerghatta Road,Bangalore ",77.60150300000002,12.935549,"garbage dumping, big menace in Bannerghatta road, residents are forced to tolerate the, horrible stench",Not found,"Jan 9, 2020, 06.13 AM IST"
56,bangalore_report_77.txt,"Malleshwaram west ,Opposite Bank of India, Milk colony branch,Bangalore 560055 ",77.5576535,13.0132181,damage is solicited,Not found,"Jan 3, 2020, 06.18 AM IST"
57,bangalore_report_78.txt,"Nagarbhavi,2nd Stage, 3rd Block, Next to BDA Complex, Nagarbhavi Ring Road,Bangalore ",77.51135079999997,12.9801029,"Garbage has been thrown in front, forced to cover, horrible stench",Not found,"Jan 3, 2020, 06.16 AM IST"
58,bangalore_report_79.txt,"Maragondanahalli,Shikariplaya Road,Bangalore ",77.65790770000002,12.824784199999998,"Garbage mainly plastic stacks, indirect toxic treat",Not found,"Jan 3, 2020, 06.15 AM IST"
59,bangalore_report_80.txt,"Nanjappa circle,Langford Road,Bangalore ",77.6015405,12.960033,Pavement has been left damaged,three months,"Jan 1, 2020, 06.17 AM IST"
60,bangalore_report_81.txt,"Panathur Main road,Kadubeesanahalli,Bangalore ",77.70233739999998,12.9371558,"Garbage is dumped in the open, breeding ground for fleas, mosquitoes",past year,"Jan 1, 2020, 06.17 AM IST"
61,bangalore_report_82.txt,"uttarahalli main road,bhcs layout,bangalore ",77.52574419999998,12.9040779,"water stinks, garbage is not cleaned up",Not found,"Jan 1, 2020, 06.16 AM IST"
62,bangalore_report_83.txt,"7th A Main Road, 1st Block, HRBR Layout,,Banaswadi, Kalyanagar,Bangalore-560043 ",77.6432126,13.0125981,"surrounding areas are dumping the garbage on the road, menace and stinking trash, bin have fallen on deaf, garbage strewn on the road worsens with traffic deadlock",Not found,"Jan 1, 2020, 06.16 AM IST"
63,bangalore_report_84.txt,"Benson Town,90 Nandidurga Road,Bangalore ",77.60082299999998,12.9978112,hole on the footpath,Not found,"Jan 1, 2020, 06.15 AM IST"
64,bangalore_report_85.txt,"HRBR 3rd Block , Mahabazzar cross road,3rd A Main, Road,Bangalore ",77.6335721,13.022412,"garbage has not been cleared, unbearable stench, health hazard",last month,"Jan 1, 2020, 06.15 AM IST"
65,bangalore_report_87.txt,"8th F Main Rd, Near-Canara Bank, Jayanagar, Bengaluru, Karnataka 560011,8th F Main Rd, Near-Canara Bank, Jayanagar, Bengaluru, Karnataka 560011,Bangalore ",77.59091459999998,12.9289349,"fell off the footpath, dangerous for pedestrians",Not found,"Dec 27, 2019, 06.19 AM IST"
66,bangalore_report_88.txt,"Indiranagar 2nd stage,5 th cross,10th main,Bangalore ",77.63856299999998,12.9759124,tree stay uncleared even after a tree was cut down about,Not found,"Dec 27, 2019, 06.18 AM IST"
67,bangalore_report_89.txt,"Basavanagudi,HB Samaja Road,Bangalore ",77.57525940000002,12.945875,"Vehicles parked on the footpath, causing inconvenience, an obstruction",Not found,"Dec 27, 2019, 06.16 AM IST"
68,bangalore_report_92.txt,"electronic City,fruit market Road,bangalore ",77.6889642,12.8426267,Garbage and debris has been dumped on the pedestrian way,Not found,"Dec 26, 2019, 06.16 AM IST"
69,bangalore_report_93.txt,"3rd A Main, 3rd Block ,mahabazar cross road,Hrbr layout,bangalore ",77.63602709999998,13.0243411,"vehicle has been lying on the 3rd, dump garbage in the meantime",five months,"Dec 26, 2019, 06.16 AM IST"
70,bangalore_report_96.txt,"Hennur bande, Hennur garden,Chelekere main road,Bangalore ",77.63788939999998,13.0280755,"blocked with debris, people are blocked",few months,"Dec 26, 2019, 06.14 AM IST"
71,bangalore_report_99.txt,"jalahalli west,s m road,bangalore ",77.5266551,13.0510296,"Footpath seen, blocked by two wheeler parking",Not found,"Dec 24, 2019, 06.14 AM IST"
72,bangalore_report_104.txt,"Nayanda halli , Panthpalya,Mysore Road,Bangalore ",77.5288563,12.944750099999998,"always filled with garbage and is being used, unhygienic atmosphere",Not found,"Dec 17, 2019, 06.14 AM IST"
73,bangalore_report_105.txt,"jayanagar,5th block,Bangalore ",77.5841502,12.920789,sunk in for the,20 days,"Dec 16, 2019, 06.21 AM IST"
74,bangalore_report_106.txt,"malleswaram,B Street, 3rd Cross,Bangalore ",77.57457109999999,12.9956963,inconvenience to commuters and residents,Not found,"Dec 16, 2019, 06.16 AM IST"
75,bangalore_report_107.txt,"Domlur,6th and 7th Cross Road,Bangalore ",77.6383075,12.9589478,waste on the footpath,Not found,"Dec 15, 2019, 06.16 AM IST"
76,bangalore_report_108.txt,"mahadevapura,service road,Bangalore ",77.69297840000002,12.9374423,Footpath meant for public is occupied,Not found,"Dec 12, 2019, 06.20 AM IST"
77,bangalore_report_110.txt,"Thindlu,Siddalingeshwara layout,Bangalore ",77.56890969999998,13.0714902,"two weeks ago the entire, dug up, wastage of water",Not found,"Dec 12, 2019, 06.14 AM IST"
78,bangalore_report_112.txt,"Suryanagar phase 1,11 th main, 9th Cross, Chandapura,Bangalore ",77.6979885,12.7928104,garbage-strewn roads,15 years,"Dec 10, 2019, 06.18 AM IST"
79,bangalore_report_113.txt,"Ramamurthynagar ,Muninanjappa Layout, Nr Indian oil Petrol Bunk and Dmary,Bangalore ",77.66661020000002,13.0123524,"vehicle is, blocking a road",Not found,"Dec 10, 2019, 06.17 AM IST"
80,bangalore_report_115.txt,"Malleshpalya,11th Main,Bangalore ",77.67612869999998,12.9739353,"Big slabs are placed in the middle of the road, risk to commuters",Not found,"Dec 5, 2019, 06.18 AM IST"
81,bangalore_report_117.txt,"Kengeri ,railway(back entrance) parallel Road ,Bangalore ",77.4838192,12.9176716,fall can be lethal,Not found,"Dec 5, 2019, 06.13 AM IST"
82,bangalore_report_118.txt,"Kasavanahalli,Sarjapur road,Bangalore ",77.6781785,12.9137171,dug up,3 years,"Nov 22, 2019, 06.14 AM IST"
83,bangalore_report_119.txt,"Doddabommasandra Main Road,Vidyaranyapura Post,Bangalore - 560097 ",77.56834140000002,13.0545868,"open drain, People are at risk using the main road",six months,"Nov 22, 2019, 06.13 AM IST"
84,bangalore_report_120.txt,"Pune-Bangalore Highway,Khed-Sivapur,Pune ",73.94050290000001,18.2041573,recent launch,Not found,"Nov 1, 2019, 06.20 AM IST"
85,bangalore_report_121.txt,"Okalipuram bus stand,Main Road leading to Anand Rao circle from Dr.Rajkumar road,Bangalore ",77.55601300000002,12.9936683,severe traffic jams,Not found,"Aug 7, 2019, 06.25 AM IST"
86,bangalore_report_122.txt,"Sarakki market,kanakapura road,bangalore ",77.57284299999998,12.909427,Commuters forced to wait till the transfer is complete,Not found,"Aug 7, 2019, 06.13 AM IST"
87,bangalore_report_123.txt,"Basapura,Basapura Main Road,Bangalore ",77.6471936,12.8669067,"dug up, road was dug up, traffic bottlenecks","an year ago, 6 months","Aug 7, 2019, 06.12 AM IST"
88,bangalore_report_125.txt,"Seetharampalaya lake, near Brigade lake front apartment ,behind SAP labs ,Bangalore ",77.71090219999998,12.9815441,"Lake is being filled with garbage polluting the lake, illegal dumping",Not found,"Jul 24, 2019, 06.21 AM IST"
89,bangalore_report_126.txt,"Richmond town,Bernie street,Bangalore ",77.60348940000002,12.9633823,inconvenience to commuters,Not found,"Jul 24, 2019, 06.15 AM IST"
90,bangalore_report_127.txt,"marathahalli ,outer ring road ,Bangalore ",77.701936,12.96347,Sewage flows into the street,Not found,"Jul 24, 2019, 06.12 AM IST"
91,bangalore_report_128.txt,"sarakki signal, jaraganahalli ,kanapura road,bangalore ",77.57373100000002,12.906387,"garbage dump, walk on the main road",Not found,"Jul 23, 2019, 06.14 AM IST"
92,bangalore_report_129.txt,"Elita Promenade,off brigadr millenium signal,bangalore ",77.57975079999999,12.892543,"motorist use the pdestrian walkway to ride their bikes, Lack of proper traffic control",Not found,"Jul 22, 2019, 06.20 AM IST"
93,bangalore_report_130.txt,"Hosakerehalli, Banashankari 3rd stage,V Legacy Road, NICE underpass,Bangalore ",77.52747260000002,12.9317765,garbage been dumped,one month,"Jul 22, 2019, 06.14 AM IST"
94,bangalore_report_131.txt,"Devarachikkanahalli,Devarachikkanahalli main road,Bangalore ",77.62165449999998,12.8983226,"broken footpaths, overflowing sewage",Not found,"Jul 18, 2019, 06.24 AM IST"
95,bangalore_report_132.txt,"Banashankari ,ring road near yes bank,Bangalore ",77.5542608,12.923463900000002,People cannot walk comfortably in the streets,5 days sanitary,"Jul 4, 2019, 06.17 AM IST"
96,bangalore_report_133.txt,"NRI LAYOUT TC PALYA, KALKERE ROAD BANGALORE,NRI LAYOUT,BANGALORE ",77.6767036,13.0278306,"Road digging is going, no proper road",8-9 months,"Jul 4, 2019, 06.14 AM IST"
97,bangalore_report_134.txt,"Kengeri Lake,off Mysore road,Bangalore ",77.48776339999998,12.9164994,"Kengeri is blocked, horrible stink, mosquito breeding, cover the drain",Not found,"Jul 2, 2019, 06.19 AM IST"
98,bangalore_report_136.txt,"Bommanahalli,mangamanapalya main road,Bangalore ",77.6310189,12.9065698,"overflowing drainage, caused inconvenience to pedestrians",Not found,"Jul 2, 2019, 06.19 AM IST"
99,bangalore_report_137.txt,"Binnypet,tank bund road,bangalore ",77.5620208,12.9657925,"4 guys were riding, not only nuisance, risk to fellow riders",Not found,"Jun 30, 2019, 06.15 AM IST"
100,bangalore_report_138.txt,"Hosakerehalli,V Legacy Road, Nice Underpass,Bangalore ",77.52747260000002,12.9317765,"Commuters are riding, pile of garbage",Not found,"Jun 29, 2019, 06.14 AM IST"
101,bangalore_report_139.txt,"vijayanagar,11th main road,,BANGALORE ",77.5354282,12.9638908,people can't commute,Not found,"Jun 29, 2019, 06.13 AM IST"
102,bangalore_report_140.txt,"Indiranagar,100 Feet Road,Bangalore ",77.63921239999998,12.9506517,"footpaths are blocked by either the construction materials or are dug up & left, haphazardly occupied",Not found,"Jun 28, 2019, 06.16 AM IST"
103,bangalore_report_141.txt,"Railway parallel road, telecom layout,near silver domicile apartment, road connecting to Manyata tech park back gate.,Bangalore ",77.6256825,13.0653965,"Road or drain, muddy waters getting splashed on",Not found,"Jun 28, 2019, 06.14 AM IST"
104,bangalore_report_142.txt,"Lalbag,Krumbigal road,Bangalore ",77.58339219999998,12.9524868,"Debris on road, Construction debris on footpath, filled with construction debris and garbage",Not found,"Jun 28, 2019, 06.13 AM IST"
105,bangalore_report_144.txt,"pottery town,pottery road,Bangalore ",77.60957690000002,13.0014703,difficult for vehicles,six months,"Jun 25, 2019, 06.19 AM IST"
106,bangalore_report_145.txt,"HRBR Layout, Banaswadi,7th A Main Road, 1st Block,Bangalore ",77.6440983,13.015619699999998,"public trash bin is overflowing, inconvenience to residents",Not found,"Jun 25, 2019, 06.11 AM IST"
107,bangalore_report_146.txt,"JP Nagar Phase 5,Rose Garden Road-opposite Esteem Park Apartments,Bangalore ",77.5925667,12.9008955,"Construction materials are thrown on the footpath, inconvenience to pedestrians",Not found,"Jun 17, 2019, 06.21 AM IST"
108,bangalore_report_147.txt,"marsur,Chandapura Anekal Road,Bangalore ",77.7014738,12.7631992,"lot of pollution, Residents forced to inhale the toxic smell",Not found,"Jun 17, 2019, 06.18 AM IST"
109,bangalore_report_149.txt,"Freedom Fighters Colony, Laggere ward,2nd cross,Bangalore ",77.52895490000002,13.0056995,"collection of garbage, dump garbage in empty sites, dumped garbage, pile of garbage is stinking, collection of garbage",Not found,"Jun 13, 2019, 06.14 AM IST"
110,bangalore_report_150.txt,"Gandhinagar,B street 6 th cross,bangalore ",77.57604359999998,12.9792466,Mosquitoes sound disease threat as garbage,Not found,"Jun 13, 2019, 06.12 AM IST"
111,bangalore_report_152.txt,"kaggadasapura railway crossing,kaggadasapura,Bangalore ",77.6797641,12.9835869,Garbage dump,Not found,"Jun 4, 2019, 06.17 AM IST"
112,bangalore_report_154.txt,"electronic city phase 2,ananth nagar,bangalore ",77.6898209,12.8389444,filled with water,Not found,"Jun 4, 2019, 06.11 AM IST"
113,bangalore_report_155.txt,"Vidyaranyapura,Nanjappa road,Bangalore ",77.5569265,13.0678276,Illegal parking,Not found,"Jun 3, 2019, 12.06 PM IST"
114,bangalore_report_156.txt,"Canara bank layout,1st main 1st cross road,Bangalore ",77.57648490000003,13.0698698,dug up,Not found,"May 30, 2019, 06.23 AM IST"
115,bangalore_report_157.txt,"JPNagar 2nd phade,18 B Main,Bangalore ",77.5899797,12.9144332,Storm water Drian,Not found,"May 30, 2019, 06.23 AM IST"
116,bangalore_report_158.txt,"Whitefield,thubarahalli,bangalore ",77.72088529999998,12.9520393,high voltage wires on footpath,Not found,"May 30, 2019, 06.21 AM IST"
117,bangalore_report_161.txt,"74, 14th A Cross, Marappa Garden ,Sheshadri Road, Benson Town ,Bangalore 560046 ",77.60117120000002,13.0061785,"tree has fallen on our house, along with electric pole and live wires",Not found,"May 30, 2019, 06.17 AM IST"
118,bangalore_report_163.txt,"JP Nagar 7th phase ,Kothnur main road,Bangalore ",77.58188670000001,12.8903373,storm water drain,Not found,"May 30, 2019, 06.17 AM IST"
119,bangalore_report_165.txt,"hennur bande, kalyan nagar,hennur main road,bangalore ",77.631513,13.025124900000002,full of potholes,2 years,"May 30, 2019, 06.13 AM IST"
120,bangalore_report_166.txt,"Rest House Road Cross,next to BBMP park,Bangalore. ",77.5928059,13.067512400000002,Bamboo blocking vehicular traffic,Not found,"May 30, 2019, 06.11 AM IST"
121,bangalore_report_167.txt,"Robertson Road B type ,street adjacent to fm eye clinic Fraser Town,bangalore ",77.6108481,12.9996807,tree's branch has fallen on an electric wire,Not found,"May 30, 2019, 06.11 AM IST"
122,bangalore_report_170.txt,"Whitefield ,Nallurhalli ,Bangalore ",77.73291309999998,12.970480300000002,dumping waste,Not found,"May 27, 2019, 06.12 AM IST"
123,bangalore_report_171.txt,"Attibele,Kumar layout,Bangalore ",77.76805290000001,12.7723496,"filled with garbage, people throwing garbage in streets",Not found,"May 23, 2019, 06.18 AM IST"
124,bangalore_report_172.txt,"Yelahanka,Yelahanka lake,Bangalore ",77.596227,13.1099935,"waterlogged, Commuters are worried about using the bridge",Not found,"May 23, 2019, 06.12 AM IST"
125,bangalore_report_174.txt,"bettadasanapura, electronic city,begur koppa road,Bangalore ",77.64076519999998,12.808863699999998,"poor condition of road, trenches have caused accidents",Not found,"May 20, 2019, 06.16 AM IST"
126,bangalore_report_175.txt,"Ramaswami Palya Munegowda Road,Kammanahalli Main road,Bangalore ",77.6354834,13.0090309,"Garbage uncleared in Munegowda Road, throwing garbage",Not found,"May 20, 2019, 06.13 AM IST"
127,bangalore_report_177.txt,"Vijaynagar metro station,11thmain road,Bangalore ",77.53740140000002,12.9709157,road and footpath has been encroached,Not found,"May 12, 2019, 06.14 AM IST"
128,bangalore_report_178.txt,"near KIMS signal, bak 2 nd stage,30th main road ( leading to devegowda petrol bunk),bangalore 560070 ",77.55996789999998,12.9222029,occupying footpath for parking employees vehicles,Not found,"May 7, 2019, 06.22 AM IST"
129,bangalore_report_180.txt,"old airport road,old airport road,bangalore ",77.68432399999998,12.954806,"Potholes on old airport road, deep by 3 feet by",Not found,"May 7, 2019, 06.20 AM IST"
130,bangalore_report_181.txt,"19th block, Arkavathi Layout,chelkere,Bangalore ",77.6442328,13.0290574,"Hazard materials have been dumped in residential, inconvenience to general public",Not found,"May 7, 2019, 06.19 AM IST"
131,bangalore_report_182.txt,"Ittamadu main road,6th A cross,Bangalore ",77.5435153,12.9226131,dumping ground  on,Not found,"May 7, 2019, 06.17 AM IST"
132,bangalore_report_187.txt,"Hennur Bande, BBMP garbage collection center,Hennur Bagalur Road,Bangalore ",77.6222816,12.884489,horrible smell,Not found,"May 6, 2019, 06.18 AM IST"
133,bangalore_report_188.txt,"Jalahali cross bus stop towards Peenya industries ( ETDC comound wall),100 feet road towards peenya industries,Bangalore ",77.506692,13.01099,urinal purposes,Not found,"May 6, 2019, 06.16 AM IST"
134,bangalore_report_189.txt,"Indiranagar,Metro Station,Bangalore ",77.63852570000002,12.9782619,Drainage pipe leakage,Not found,"May 6, 2019, 06.11 AM IST"
135,bangalore_report_190.txt,"B131, Another Sky, Living Walls, ,Horamavu Main Road ,Bangalore 560043 ",77.6557753,13.019807,"illegal signboard, inconvenience to pedestrians walking in the road",Not found,"May 4, 2019, 06.11 AM IST"
136,bangalore_report_191.txt,"Laggere Bridge,13th Cross, 17th Main,Bangalore ",77.52754829999998,13.0103642,burning trash,Not found,"Apr 30, 2019, 06.19 AM IST"
137,bangalore_report_192.txt,"483 12th main,opp brightway school.Bhcs layout,Bangalore ",77.54579009999998,12.9092412,"health hazard to the residents, garbage lying here, Vasantapura garbage collectors",for months,"Apr 30, 2019, 06.15 AM IST"
